장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
La Tasqueta de Blai,La Tasqueta de Blai 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=La%20Tasqueta%20de%20Blai,2026 스페인 포르토 여행
Bloody Mary Cocktail Bar,Bloody Mary Cocktail Bar 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bloody%20Mary%20Cocktail%20Bar,2026 스페인 포르토 여행
Vinitus,Vinitus 스페인/포르투갈,식당 및 카페,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Vinitus,2026 스페인 포르토 여행
시우다드 콘달,시우다드 콘달 스페인/포르투갈,식당 및 카페,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%8B%9C%EC%9A%B0%EB%8B%A4%EB%93%9C%20%EC%BD%98%EB%8B%AC,2026 스페인 포르토 여행
Cala Llombards,Cala Llombards 스페인/포르투갈,식당 및 카페,명승지,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Llombards,2026 스페인 포르토 여행
Meia-Nau Porto,Meia-Nau Porto 스페인/포르투갈,식당 및 카페,€20~40,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Meia-Nau%20Porto,2026 스페인 포르토 여행
Vinhas d'Alho,Vinhas d'Alho 스페인/포르투갈,식당 및 카페,€20~45,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Vinhas%20d%27Alho,2026 스페인 포르토 여행
Taberna dos Fernandes,Taberna dos Fernandes 스페인/포르투갈,식당 및 카페,€20~40,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Taberna%20dos%20Fernandes,2026 스페인 포르토 여행
Restaurante Cantina 32,Restaurante Cantina 32 스페인/포르투갈,식당 및 카페,€20~45,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Restaurante%20Cantina%2032,2026 스페인 포르토 여행
카자 드 샤 다 보아 노바,카자 드 샤 다 보아 노바 스페인/포르투갈,식당 및 카페,€50 이상,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%9E%90%20%EB%93%9C%20%EC%83%A4%20%EB%8B%A4%20%EB%B3%B4%EC%95%84%20%EB%85%B8%EB%B0%94,2026 스페인 포르토 여행
Casa Salesas,Casa Salesas 스페인/포르투갈,식당 및 카페,€30~70,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Casa%20Salesas,2026 스페인 포르토 여행
메손 델 참피뇬,메손 델 참피뇬 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A9%94%EC%86%90%20%EB%8D%B8%20%EC%B0%B8%ED%94%BC%EB%87%AC,2026 스페인 포르토 여행
Bocadillos Oink Gran Vía,Bocadillos Oink Gran Vía 스페인/포르투갈,식당 및 카페,€1~10,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bocadillos%20Oink%20Gran%20V%C3%ADa,2026 스페인 포르토 여행
Le Frog,Le Frog 기타,식당 및 카페,€20~60,기타,https://www.google.com/maps/search/?api=1&query=Le%20Frog,2026 이탈리아 프랑스 여행
La Pecora Pazza,La Pecora Pazza 기타,식당 및 카페,€10~20,기타,https://www.google.com/maps/search/?api=1&query=La%20Pecora%20Pazza,2026 이탈리아 프랑스 여행
Mr.Clood Bistrot,Mr.Clood Bistrot 기타,식당 및 카페,€20~30,기타,https://www.google.com/maps/search/?api=1&query=Mr.Clood%20Bistrot,2026 이탈리아 프랑스 여행
레이허우,레이허우 대만,식당 및 카페,NT$200~400,대만,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%EC%9D%B4%ED%97%88%EC%9A%B0,대만 식당
은하동(銀河洞-韓式pocha),은하동 대만,식당 및 카페,NT$600~800,대만,https://www.google.com/maps/search/?api=1&query=%EC%9D%80%ED%95%98%EB%8F%99%28%E9%8A%80%E6%B2%B3%E6%B4%9E-%E9%9F%93%E5%BC%8Fpocha%29,대만 식당
키키레스토랑 (att 4 fun 지점),키키레스토랑 대만,식당 및 카페,"NT$400~1,000",대만,https://www.google.com/maps/search/?api=1&query=%ED%82%A4%ED%82%A4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91%20%28att%204%20fun%20%EC%A7%80%EC%A0%90%29,대만 식당
Pizza 4P’s Bao Khanh,Pizza 4P’s Bao Khanh 베트남 하노이,식당 및 카페,피자 레스토랑,베트남 하노이,https://www.google.com/maps/search/?api=1&query=Pizza%204P%E2%80%99s%20Bao%20Khanh,즐겨찾기
Lai Heen,Lai Heen 마카오,식당 및 카페,미슐랭 광둥 요리,마카오,https://www.google.com/maps/search/?api=1&query=Lai%20Heen,가고 싶은 장소
무사시노 산토리 맥주공장,무사시노 산토리 맥주공장 일본 도쿄,식당 및 카페,맥주 브루어리,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AC%B4%EC%82%AC%EC%8B%9C%EB%85%B8%20%EC%82%B0%ED%86%A0%EB%A6%AC%20%EB%A7%A5%EC%A3%BC%EA%B3%B5%EC%9E%A5,여행 계획
야키니쿠 규센닌 (焼肉 牛仙人),야키니쿠 규센닌 일본 후쿠오카,식당 및 카페,A5 흑우 와규 야키니쿠,일본 후쿠오카,https://maps.app.goo.gl/HQJiDhj6uRf2G4Pn6,https://www.youtube.com/watch?v=uRbWRQwNlew
이케다 센교 (炉端 池田鮮魚),이케다 센교 일본 후쿠오카,식당 및 카페,이자카야 / 스시 & 카이센동,일본 후쿠오카,https://maps.app.goo.gl/MMfEfHLtzV6bTyq69,https://www.youtube.com/watch?v=uRbWRQwNlew
하카타 토요이치 (博多豊一 ベイサイドプレイス博多埠頭店),하카타 토요이치 일본 후쿠오카,식당 및 카페,120엔 스시 / 완간시장,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%95%98%EC%B9%B4%ED%83%80%20%ED%86%A0%EC%9A%94%EC%9D%B4%EC%B9%98%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
아마무 다코탄 본점 (AMAM DACOTAN / アマムダコタン 六本松),아마무 다코탄 본점 일본 후쿠오카,식당 및 카페,전설적인 베이커리 / 요리빵 / 마리토초,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%A7%88%EB%AC%B4%EB%8B%A4%EC%BD%94%ED%83%84%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
효탄 스시 본점 (ひょうたん寿司 本店),효탄 스시 본점 일본 후쿠오카,식당 및 카페,텐진 가성비 스시 노포 / 해산물 안주,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
야마나카 스시 본점 (やま中 本店),야마나카 스시 본점 일본 후쿠오카,식당 및 카페,후쿠오카 정통 고급 스시 / 나나츠보시 런치,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%95%BC%EB%A7%88%EB%82%98%EC%B9%B4%20%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
아임도넛 후쿠오카점 (I'm donut? 福岡店),아임도넛 후쿠오카점 일본 후쿠오카,식당 및 카페,생도넛 전문점 / 텐진 핫플,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=I%27m%20donut%3F%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
스시사카바 사시스 하카타점 (すし酒場 さしす 博多店),스시사카바 사시스 하카타점 일본 후쿠오카,식당 및 카페,참치김초밥 / 스시 이자카야,일본 후쿠오카,https://maps.app.goo.gl/QMcx7skSF9fcKpvK7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이몬네 하카타 (芋んね 博多店),이몬네 하카타 일본 후쿠오카,식당 및 카페,모찌 젤라또 / 디저트,일본 후쿠오카,https://maps.app.goo.gl/3Psh24LuQDNumvyq8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
