장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
Hotel Posada del Lucero | Monumento Nacional,Hotel Posada del Lucero | Monumento Nacional 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Hotel%20Posada%20del%20Lucero%20%7C%20Monumento%20Nacional,2026 스페인 포르토 여행
HOTEL REGINA BARCELONA,HOTEL REGINA BARCELONA 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=HOTEL%20REGINA%20BARCELONA,2026 스페인 포르토 여행
Hotel Cala d'Or,Hotel Cala d'Or 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Hotel%20Cala%20d%27Or,2026 스페인 포르토 여행
쥬스코베르타스 부티크 호텔 포르투,쥬스코베르타스 부티크 호텔 포르투 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%A5%AC%EC%8A%A4%EC%BD%94%EB%B2%A0%EB%A5%B4%ED%83%80%EC%8A%A4%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%ED%98%B8%ED%85%94%20%ED%8F%AC%EB%A5%B4%ED%88%AC,2026 스페인 포르토 여행
카탈로니아 아토차,카탈로니아 아토차 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%ED%83%88%EB%A1%9C%EB%8B%88%EC%95%84%20%EC%95%84%ED%86%A0%EC%B0%A8,2026 스페인 포르토 여행
"Via Stefano Canzio, 6","Via Stefano Canzio, 6 기타",숙박,20131 Milano MI,기타,https://www.google.com/maps/search/?api=1&query=Via%20Stefano%20Canzio%2C%206,2026 이탈리아 프랑스 여행
미드타운리처드슨 호텔,미드타운리처드슨 호텔 대만,숙박,4성급 호텔,대만,https://www.google.com/maps/search/?api=1&query=%EB%AF%B8%EB%93%9C%ED%83%80%EC%9A%B4%EB%A6%AC%EC%B2%98%EB%93%9C%EC%8A%A8%20%ED%98%B8%ED%85%94,2026 대만
古民家「禅」,古民家「禅」 일본 도쿄,숙박,전통 숙소,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%B0%91%E5%AE%B6%E3%80%8C%E7%A6%85%E3%80%8D,여행 계획
밴드호텔 하카타 (The Vend Hotel Hakata),밴드호텔 하카타 일본 후쿠오카,숙박,신축 가성비 호텔 / 나카스강 뷰,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%B0%B4%EB%93%9C%ED%98%B8%ED%85%94%20%ED%95%98%EC%B9%B4%ED%83%80%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
더 게이트 호텔 후쿠오카 바이 훌릭 (THE GATE HOTEL FUKUOKA by HULIC),더 게이트 호텔 후쿠오카 바이 훌릭 일본 후쿠오카,숙박,텐진 럭셔리 신축 호텔,일본 후쿠오카,https://maps.app.goo.gl/W7AtoCswhAhQMd9o9,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
스튜디오 시티 마카오 (Studio City Macau / 新濠影滙),스튜디오 시티 마카오 마카오,숙박,"5성급 복합 리조트, 8자 대관람차 골든릴, 워터파크, 공항 셔틀",마카오,https://www.google.com/maps/search/?api=1&query=Studio+City+Macau,https://youtu.be/4FPa5Kgz04o?si=1vP7H6U0HhA_TLCx
