장소명,카테고리,권장색상,원본목록,태그
La Tasqueta de Blai,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€10~20
Bloody Mary Cocktail Bar,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€10~20
Vinitus,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€20~30
시우다드 콘달,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€20~30
Cala Llombards,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,명승지
Meia-Nau Porto,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€20~40
Vinhas d'Alho,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€20~45
Taberna dos Fernandes,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€20~40
Restaurante Cantina 32,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€20~45
카자 드 샤 다 보아 노바,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€50 이상
Casa Salesas,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€30~70
메손 델 참피뇬,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€10~20
Bocadillos Oink Gran Vía,식당 및 카페,빨간색 (Red),2026 스페인 포르토 여행,€1~10
Le Frog,식당 및 카페,빨간색 (Red),2026 이탈리아 프랑스 여행,€20~60
La Pecora Pazza,식당 및 카페,빨간색 (Red),2026 이탈리아 프랑스 여행,€10~20
Mr.Clood Bistrot,식당 및 카페,빨간색 (Red),2026 이탈리아 프랑스 여행,€20~30
레이허우,식당 및 카페,빨간색 (Red),대만 식당,NT$200~400
은하동(銀河洞-韓式pocha),식당 및 카페,빨간색 (Red),대만 식당,NT$600~800
키키레스토랑 (att 4 fun 지점),식당 및 카페,빨간색 (Red),대만 식당,"NT$400~1,000"
Pizza 4P’s Bao Khanh,식당 및 카페,빨간색 (Red),즐겨찾기,피자 레스토랑
Lai Heen,식당 및 카페,빨간색 (Red),가고 싶은 장소,미슐랭 광둥 요리
무사시노 산토리 맥주공장,식당 및 카페,빨간색 (Red),여행 계획,맥주 브루어리
