장소명,카테고리,권장색상,원본목록,태그
Sa Calobra,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,해변
Cala Ferrera,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,"Cala Ferrera
Balearic Islands
스페인"
Cala Mendia,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,만/포구
Caló del Moro,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,해변
수정궁 정원,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,정원
모루 정원,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,정원
레티로 공원,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,공원
구엘 공원,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,공원
마드리드 왕립식물원,자연 및 공원,초록색 (Green),2026 스페인 포르토 여행,식물원
예류지질공원,자연 및 공원,초록색 (Green),2026 대만,자연보호구역
타이베이 시립 동물원,자연 및 공원,초록색 (Green),2026 대만,동물원
