장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
La Tasqueta de Blai,La Tasqueta de Blai 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=La%20Tasqueta%20de%20Blai,2026 스페인 포르토 여행
Bloody Mary Cocktail Bar,Bloody Mary Cocktail Bar 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bloody%20Mary%20Cocktail%20Bar,2026 스페인 포르토 여행
Vinitus,Vinitus 스페인/포르투갈,식당 및 카페,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Vinitus,2026 스페인 포르토 여행
시우다드 콘달,시우다드 콘달 스페인/포르투갈,식당 및 카페,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%8B%9C%EC%9A%B0%EB%8B%A4%EB%93%9C%20%EC%BD%98%EB%8B%AC,2026 스페인 포르토 여행
Cala Llombards,Cala Llombards 스페인/포르투갈,식당 및 카페,명승지,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Cala%20Llombards,2026 스페인 포르토 여행
Meia-Nau Porto,Meia-Nau Porto 스페인/포르투갈,식당 및 카페,€20~40,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Meia-Nau%20Porto,2026 스페인 포르토 여행
Vinhas d'Alho,Vinhas d'Alho 스페인/포르투갈,식당 및 카페,€20~45,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Vinhas%20d%27Alho,2026 스페인 포르토 여행
Taberna dos Fernandes,Taberna dos Fernandes 스페인/포르투갈,식당 및 카페,€20~40,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Taberna%20dos%20Fernandes,2026 스페인 포르토 여행
Restaurante Cantina 32,Restaurante Cantina 32 스페인/포르투갈,식당 및 카페,€20~45,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Restaurante%20Cantina%2032,2026 스페인 포르토 여행
카자 드 샤 다 보아 노바,카자 드 샤 다 보아 노바 스페인/포르투갈,식당 및 카페,€50 이상,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%9E%90%20%EB%93%9C%20%EC%83%A4%20%EB%8B%A4%20%EB%B3%B4%EC%95%84%20%EB%85%B8%EB%B0%94,2026 스페인 포르토 여행
Casa Salesas,Casa Salesas 스페인/포르투갈,식당 및 카페,€30~70,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Casa%20Salesas,2026 스페인 포르토 여행
메손 델 참피뇬,메손 델 참피뇬 스페인/포르투갈,식당 및 카페,€10~20,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A9%94%EC%86%90%20%EB%8D%B8%20%EC%B0%B8%ED%94%BC%EB%87%AC,2026 스페인 포르토 여행
Bocadillos Oink Gran Vía,Bocadillos Oink Gran Vía 스페인/포르투갈,식당 및 카페,€1~10,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bocadillos%20Oink%20Gran%20V%C3%ADa,2026 스페인 포르토 여행
