장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
Can Ramonet,Can Ramonet 스페인/포르투갈,유적지 및 관광지,€30~50,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Can%20Ramonet,2026 스페인 포르토 여행
Turó de la Rovira,Turó de la Rovira 스페인/포르투갈,유적지 및 관광지,지역사 박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Tur%C3%B3%20de%20la%20Rovira,2026 스페인 포르토 여행
Catedral-Basílica de Santa María de Mallorca,Catedral-Basílica de Santa María de Mallorca 스페인/포르투갈,유적지 및 관광지,대성당,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Catedral-Bas%C3%ADlica%20de%20Santa%20Mar%C3%ADa%20de%20Mallorca,2026 스페인 포르토 여행
Praça Ribeira,Praça Ribeira 스페인/포르투갈,유적지 및 관광지,원래 목록: 2026 스페인 포르토 여행,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Pra%C3%A7a%20Ribeira,2026 스페인 포르토 여행
El Pasaje Tapas,El Pasaje Tapas 스페인/포르투갈,유적지 및 관광지,€20~30,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=El%20Pasaje%20Tapas,2026 스페인 포르토 여행
메트로폴 파라솔(라스 세타스 데 세비야),메트로폴 파라솔 스페인/포르투갈,유적지 및 관광지,문화적 랜드마크,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A9%94%ED%8A%B8%EB%A1%9C%ED%8F%B4%20%ED%8C%8C%EB%9D%BC%EC%86%94%28%EB%9D%BC%EC%8A%A4%20%EC%84%B8%ED%83%80%EC%8A%A4%20%EB%8D%B0%20%EC%84%B8%EB%B9%84%EC%95%BC%29,2026 스페인 포르토 여행
스페인 광장,스페인 광장 스페인/포르투갈,유적지 및 관광지,대광장,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%ED%8E%98%EC%9D%B8%20%EA%B4%91%EC%9E%A5,2026 스페인 포르토 여행
팔라시오 데 라스 두에나스,팔라시오 데 라스 두에나스 스페인/포르투갈,유적지 및 관광지,역사적 명소,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%ED%8C%94%EB%9D%BC%EC%8B%9C%EC%98%A4%20%EB%8D%B0%20%EB%9D%BC%EC%8A%A4%20%EB%91%90%EC%97%90%EB%82%98%EC%8A%A4,2026 스페인 포르토 여행
카사 데 필라토스,카사 데 필라토스 스페인/포르투갈,유적지 및 관광지,역사 유적지 박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%82%AC%20%EB%8D%B0%20%ED%95%84%EB%9D%BC%ED%86%A0%EC%8A%A4,2026 스페인 포르토 여행
"Santa Cruz, Seville","Santa Cruz, Seville 스페인/포르투갈",유적지 및 관광지,Casco Antiguo,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Santa%20Cruz%2C%20Seville,2026 스페인 포르토 여행
알카사르,알카사르 스페인/포르투갈,유적지 및 관광지,성곽,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%95%8C%EC%B9%B4%EC%82%AC%EB%A5%B4,2026 스페인 포르토 여행
사그라다 파밀리아,사그라다 파밀리아 스페인/포르투갈,유적지 및 관광지,바실리카,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%82%AC%EA%B7%B8%EB%9D%BC%EB%8B%A4%20%ED%8C%8C%EB%B0%80%EB%A6%AC%EC%95%84,2026 스페인 포르토 여행
까사 비센스,까사 비센스 스페인/포르투갈,유적지 및 관광지,박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EA%B9%8C%EC%82%AC%20%EB%B9%84%EC%84%BC%EC%8A%A4,2026 스페인 포르토 여행
카사 바트요,카사 바트요 스페인/포르투갈,유적지 및 관광지,역사적 명소,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%82%AC%20%EB%B0%94%ED%8A%B8%EC%9A%94,2026 스페인 포르토 여행
프라도 미술관,프라도 미술관 스페인/포르투갈,유적지 및 관광지,미술관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%ED%94%84%EB%9D%BC%EB%8F%84%20%EB%AF%B8%EC%88%A0%EA%B4%80,2026 스페인 포르토 여행
마드리드 왕궁,마드리드 왕궁 스페인/포르투갈,유적지 및 관광지,성곽,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EC%99%95%EA%B6%81,2026 스페인 포르토 여행
