장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
야키니쿠 규센닌 (焼肉 牛仙人),야키니쿠 규센닌 일본 후쿠오카,식당 및 카페,A5 흑우 와규 야키니쿠,일본 후쿠오카,https://maps.app.goo.gl/HQJiDhj6uRf2G4Pn6,https://www.youtube.com/watch?v=uRbWRQwNlew
이케다 센교 (炉端 池田鮮魚),이케다 센교 일본 후쿠오카,식당 및 카페,이자카야 / 스시 & 카이센동,일본 후쿠오카,https://maps.app.goo.gl/MMfEfHLtzV6bTyq69,https://www.youtube.com/watch?v=uRbWRQwNlew
밴드호텔 하카타 (The Vend Hotel Hakata),밴드호텔 하카타 일본 후쿠오카,숙박,신축 가성비 호텔 / 나카스강 뷰,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%B0%B4%EB%93%9C%ED%98%B8%ED%85%94%20%ED%95%98%EC%B9%B4%ED%83%80%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
스미요시 신사 (住吉神社),스미요시 신사 일본 후쿠오카,유적지 및 관광지,도심 속 전통 신사,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%EB%AF%B8%EC%9A%94%EC%8B%9C%20%EC%8B%A0%EC%82%AC%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
라쿠스이엔 (楽水園),라쿠스이엔 일본 후쿠오카,자연 및 공원,일본식 전통 정원 / 다도 체험,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%9D%BC%EC%BF%A0%EC%8A%A4%EC%9D%B4%EC%97%94%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
나미하노유 온천 (波葉の湯),나미하노유 온천 일본 후쿠오카,유적지 및 관광지,도심형 온천 / 노천탕,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EB%AF%B8%ED%95%98%EB%85%B8%EC%9C%A0%20%EC%98%A8%EC%B2%9C%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
하카타 토요이치 (博多豊一 ベイサイドプレイス博多埠頭店),하카타 토요이치 일본 후쿠오카,식당 및 카페,120엔 스시 / 완간시장,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%95%98%EC%B9%B4%ED%83%80%20%ED%86%A0%EC%9A%94%EC%9D%B4%EC%B9%98%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
나카스 크루즈 (中洲クルーズ),나카스 크루즈 일본 후쿠오카,유적지 및 관광지,나카스강 야경 유람선,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EC%B9%B4%EC%8A%A4%20%ED%81%AC%EB%A3%A8%EC%A6%88%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
캐널시티 하카타 (キャナルシティ博多),캐널시티 하카타 일본 후쿠오카,쇼핑 및 시장,복합 쇼핑몰 / 분수쇼,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%BA%90%EB%84%90%EC%8B%9C%ED%8B%B0%20%ED%95%98%EC%B9%B4%ED%83%80,https://www.youtube.com/watch?v=uRbWRQwNlew
카야노야 하카타점 (茅乃舎 博多),카야노야 하카타점 일본 후쿠오카,쇼핑 및 시장,후쿠오카 아고다시 육수팩 / 고급 기념품,일본 후쿠오카,https://www.google.co.kr/maps/search/?api=1&query=%E4%B9%85%E5%8E%9F%E6%9C%AC%E5%AE%B6%20%E8%8C%85%E4%B9%83%E8%88%8E%20%E5%8D%9A%E5%A4%9A%E9%A7%85%E3%83%87%E3%82%A4%E3%83%88%E3%82%B9%E5%BA%97,https://www.youtube.com/watch?v=uRbWRQwNlew
